ASIN,product_name,brand,FBA_label,amazon_choice,price_in_US_dollars,unit_price_flag,unit_price_USdollars,unit_price_unit,top_sales_rank,subscribe_flag,shipping_weight_in_ounces,answered_questions,rating_avg,rating_nums,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,subscribe_5_unitprice,subscribe_5_unit,subscribe_15_unitprice,subscribe_15_unit
B0017L3VXE,"CARTE NOIRE Classic Instant Coffee, 100g",Carte Noire,Third Party,False,17.85,True,29.75,kg,679.0,False,83.2,0,4.3,59.0,0.09,0.07,0.0,0.17,0.67,,,,
B0018D0OQI,"Jacobs 2in1 Instant Coffee Sticks, 10 Single Servings (Pack of 12)",JACOBS,Third Party,False,69.5,True,5.79,Count,1655.0,False,78.4,0,4.6,53.0,0.07,0.0,0.02,0.08,0.83,,,,
B0018VDKHU,Caffe D’Vita Mocha Cappuccino 4 lb can (64 oz),Caffe D'Vita,FBA,True,19.49,True,0.3,Ounce,27.0,False,73.6,58,4.6,886.0,0.04,0.01,0.04,0.09,0.81,,,,
B0019MJQIU,Maxwell House Original Medium Roast Instant Coffee (2 oz Jar),MAXWELL HOUSE,FBA,False,6.99,True,3.5,Ounce,2038.0,False,5.0,0,2.9,2.0,0.53,0.0,0.0,0.0,0.47,,,,
B0019R211E,"Mulvadi, Coffee Instant 100 Kona, 1.5 Ounce",Mulvadi,FBA,True,17.95,True,11.97,Ounce,427.0,False,8.8,5,4.3,153.0,0.1,0.04,0.06,0.1,0.7,,,,
B001AHSKLS,UCC Sumiyaki 3 in 1 Coffee Mix (10 Sachets X 17g),UCC,FBA,False,13.5,True,2.25,Ounce,1538.0,False,4.8,0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,,,,
B001E5E24A,"Medaglia D'Oro Instant Espresso Coffee, 2-Ounce Jars (Pack of 6)",MEDAGLIA D'ORO,,False,27.99,False,,,383.0,False,51.2,11,4.7,260.0,0.03,0.02,0.02,0.04,0.88,,,,
B001EO62HG,"Bustelo Supreme Decafeinated Freeze-Dried Instant Coffee, 3.52-Ounce Jars (Pack of 4)",Cafe Bustelo,Third Party,False,35.97,True,2.57,Ounce,5888.0,False,59.2,0,,,0.0,0.0,0.0,0.0,0.0,,,,
B001EO62I0,"Bustelo Supreme Regular Freeze-Dried Instant Coffee, 3.52-Ounce Jars (Pack of 4)",Cafe Bustelo,,False,,False,,,1096.0,False,,0,4.4,35.0,0.06,0.1,0.0,0.07,0.77,,,,
B001EO777A,"CafÃ Bustelo Decaffeinated Instant Espresso 97 % Caffeine Free, 3.52 Ounce (Pack of 4)",Cafe Bustelo,FBA,True,27.96,True,2.0,Ounce,286.0,False,57.6,6,4.4,73.0,0.13,0.0,0.02,0.05,0.8,,,,
B001EPPBW2,"Nescafe Instant Original Coffee (England), 3.5-Ounce Bottle (Pack of 6)",Gerber,Amazon product,False,55.9,True,2.66,Ounce,2841.0,False,78.4,0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,
B001EQ4G6I,"Maxwell House Decaf Original Medium Roast Ground Coffee Filter Packs (10 Count Boxes, Pack of 4)",MAXWELL HOUSE,Third Party,False,44.5,True,2.1,Ounce,620.0,False,32.0,38,4.7,1497.0,0.01,0.01,0.04,0.1,0.84,,,,
B001EQ4IES,"Nescafe Taster's Choice French Roast Instant Coffee, 7-Ounce  Canisters (Pack of 3)",Nescafe Taster's Choice,,False,33.9,False,,,168.0,False,70.4,37,4.2,678.0,0.12,0.01,0.08,0.08,0.71,,,,
B001EQ531U,"Nescafe Coffee, Butterfinger Cappuccino Mix, 32-Ounce Bags (Pack of 2)",Nescafé,Third Party,False,32.27,True,0.5,Ounce,956.0,False,80.0,5,4.4,62.0,0.05,0.05,0.09,0.09,0.72,,,,
B001EQ56T4,"Ferrara Instant Espresso Coffee, 2-Ounce Glass Jars (Pack of 6)",Ferrara,FBA,True,22.68,True,1.89,Ounce,340.0,False,54.4,4,4.7,107.0,0.04,0.0,0.05,0.04,0.87,,,,
B001FA1KGC,"Folgers Classic Medium Roast Decaf Coffee, 19 Count Singles Serve (Pack of 6)",Folgers,Third Party,False,26.99,True,1.5,Ounce,150.0,False,32.0,11,4.6,423.0,0.03,0.02,0.04,0.1,0.81,,,,
B001G2FSLC,Nescafe Taster's Choice Decaf Instant Coffee - 10 oz jar(Pack of 2),Nescafé,Third Party,False,54.54,True,27.27,Count,1967.0,False,27.2,0,4.0,11.0,0.14,0.0,0.21,0.0,0.65,,,,
B001HTIAEG,"Cafix - Coffee Substitute, 3.5 Ounce - 12 per case.",Cafix,Third Party,False,115.18,True,9.6,Item,2768.0,False,158.4,0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,
B001HTIY1U,"Cafix Crystal - Coffee Substitute, 7 Ounce -- 12 per case.",Cafix,Third Party,False,71.82,True,5.99,Count,1629.0,False,228.8,0,4.4,16.0,0.13,0.0,0.0,0.09,0.78,,,,
B001HX33XA,UCC Japanese Coffee Taste No. 117 (3.17z),C&U,FBA,False,13.97,True,13.97,Count,2051.0,False,13.1,0,3.8,13.0,0.0,0.26,0.12,0.21,0.4,,,,
